Date,Population
1929-07-01,121767000
1930-07-01,123076741
1931-07-01,124039648
1932-07-01,124840471
1933-07-01,125578763
1934-07-01,126373773
1935-07-01,127250232
1936-07-01,128053180
1937-07-01,128824829
1938-07-01,129824939
1939-07-01,130879718
1940-07-01,132122446
1941-07-01,133402471
1942-07-01,134859553
1943-07-01,136739353
1944-07-01,138397345
1945-07-01,139928165
1946-07-01,141388566
1947-07-01,144126071
1948-07-01,146631302
1949-07-01,149188130
1950-07-01,152271417
1951-07-01,154877889
1952-07-01,157552740
1953-07-01,160184192
1954-07-01,163025854
1955-07-01,165931202
1956-07-01,168903031
1957-07-01,171984130
1958-07-01,174881904
1959-07-01,177829628
1960-07-01,180671158
1961-07-01,183691481
1962-07-01,186537737
1963-07-01,189241798
1964-07-01,191888791
1965-07-01,194302963
1966-07-01,196560338
1967-07-01,198712056
1968-07-01,200706052
1969-07-01,202676946
1970-07-01,205052174
1971-07-01,207660677
1972-07-01,209896021
1973-07-01,211908788
1974-07-01,213853928
1975-07-01,215973199
1976-07-01,218035164
1977-07-01,220239425
1978-07-01,222584545
1979-07-01,225055487
1980-07-01,227224681
1981-07-01,229465714
1982-07-01,231664458
1983-07-01,233791994
1984-07-01,235824902
1985-07-01,237923795
1986-07-01,240132887
1987-07-01,242288918
1988-07-01,244498982
1989-07-01,246819230
1990-07-01,249464396
1991-07-01,252153092
1992-07-01,255029699
1993-07-01,257782608
1994-07-01,260327021
1995-07-01,262803276
1996-07-01,265228572
1997-07-01,267783607
1998-07-01,270248003
1999-07-01,272690813
2000-12-01,282398554
2001-12-01,285470493
2002-12-01,288350252
2003-12-01,291109820
2004-12-01,293947885
2005-12-01,296842670
2006-12-01,299753098
2007-12-01,302743399
2008-12-01,305694910
2009-12-01,308512035
2010-12-01,311182845
2011-12-01,313876608
2012-12-01,316651321
2013-12-01,319375166
2014-12-01,322033964
2015-12-01,324607776
2016-12-01,327210198
2017-12-01,329791231
2018-12-01,332140037
2019-12-01,334319671
2020-12-01,335942003
